snapshotTimestamp,twinId,delayRatio,currentSpeed,freeFlowSpeed,hour,dow,lat,lon,delayRatio_future
2025-12-03 02:53:30.291731+00:00,road_26.43965_-81.7726,1.0,27,27,2,2,26.439651,-81.7726,1.0
2025-12-03 02:53:31.772472+00:00,road_26.43965_-81.7726,1.0,27,27,2,2,26.439651,-81.7726,1.0
2025-12-03 02:58:39.144145+00:00,road_26.43965_-81.7726,1.0,27,27,2,2,26.439651,-81.7726,1.0
2025-12-03 03:00:07.212980+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:04:55.098051+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:08:41.346209+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:10:17.220936+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:14:52.916848+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:15:51.981381+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:19:02.766412+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:23:59.565903+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:33:23.997116+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:33:34.631196+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:38:39.372971+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:43:40.913450+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:45:20.067906+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:49:04.741920+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:54:09.413516+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 03:59:09.457224+00:00,road_26.43965_-81.7726,1.0,27,27,3,2,26.439651,-81.7726,1.0
2025-12-03 04:02:25.293396+00:00,road_26.43965_-81.7726,1.0,27,27,4,2,26.439651,-81.7726,1.0
2025-12-03 04:07:24.803041+00:00,road_26.43965_-81.7726,1.0,27,27,4,2,26.439651,-81.7726,1.425531914893617
2025-12-03 04:08:20.878121+00:00,road_26.43965_-81.7726,1.425531914893617,19,27,4,2,26.439651,-81.7726,1.5106382978723405
2025-12-03 04:13:42.857073+00:00,road_26.43965_-81.7726,1.5106382978723405,18,27,4,2,26.439651,-81.7726,1.5106382978723405
2025-12-03 04:14:05.306375+00:00,road_26.43965_-81.7726,1.5106382978723405,18,27,4,2,26.439651,-81.7726,1.5106382978723405
2025-12-03 04:16:31.020301+00:00,road_26.43965_-81.7726,1.5106382978723405,18,27,4,2,26.439651,-81.7726,1.5106382978723405
2025-12-03 04:19:05.236842+00:00,road_26.43965_-81.7726,1.5106382978723405,18,27,4,2,26.439651,-81.7726,1.5106382978723405
2025-12-03 04:24:03.267501+00:00,road_26.43965_-81.7726,1.5106382978723405,18,27,4,2,26.439651,-81.7726,1.5106382978723405
