snapshotTimestamp,blobName,twinId,lat,lon,currentSpeed,freeFlowSpeed,jamFactor,currentTravelTime,freeFlowTravelTime
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.488_-81.7809,26.488,-81.7809,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.488_-81.7803,26.488,-81.7803,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.488_-81.7797,26.488,-81.7797,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4886_-81.7809,26.4886,-81.7809,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4886_-81.7803,26.4886,-81.7803,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4886_-81.7797,26.4886,-81.7797,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4892_-81.7809,26.4892,-81.7809,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4892_-81.7803,26.4892,-81.7803,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4892_-81.7797,26.4892,-81.7797,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.76758,26.4666,-81.767583,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46832_-81.76797,26.468319,-81.767965,37,37,,72,72
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46978_-81.76905,26.469776,-81.769052,35,35,,76,76
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47075_-81.77068,26.47075,-81.77068,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47109_-81.7726,26.471092,-81.7726,50,50,,130,130
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47075_-81.77452,26.47075,-81.77452,50,50,,130,130
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46978_-81.77615,26.469776,-81.776148,55,55,,116,116
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46832_-81.77724,26.468319,-81.777235,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.77762,26.4666,-81.777617,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46488_-81.77724,26.464881,-81.777235,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46342_-81.77615,26.463424,-81.776148,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46245_-81.77452,26.46245,-81.77452,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46211_-81.7726,26.462108,-81.7726,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46245_-81.77068,26.46245,-81.77068,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46342_-81.76905,26.463424,-81.769052,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46488_-81.76797,26.464881,-81.767965,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.76256,26.4666,-81.762565,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47004_-81.76333,26.470038,-81.763329,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47295_-81.7655,26.472952,-81.765504,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4749_-81.76876,26.474899,-81.76876,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47558_-81.7726,26.475583,-81.7726,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4749_-81.77644,26.474899,-81.77644,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47295_-81.7797,26.472952,-81.779696,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47004_-81.78187,26.470038,-81.781871,50,50,,130,130
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.78263,26.4666,-81.782635,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46316_-81.78187,26.463162,-81.781871,45,45,,61,61
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46025_-81.7797,26.460248,-81.779696,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4583_-81.77644,26.458301,-81.77644,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45762_-81.7726,26.457617,-81.7726,47,47,,232,232
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4583_-81.76876,26.458301,-81.76876,34,34,,155,155
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46025_-81.7655,26.460248,-81.765504,34,34,,155,155
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46316_-81.76333,26.463162,-81.763329,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.75755,26.4666,-81.757548,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47176_-81.75869,26.471757,-81.758694,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47613_-81.76196,26.476128,-81.761956,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47905_-81.76684,26.479049,-81.76684,82,82,,491,491
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.48007_-81.7726,26.480075,-81.7726,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47905_-81.77836,26.479049,-81.77836,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47613_-81.78324,26.476128,-81.783244,67,67,,285,285
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47176_-81.78651,26.471757,-81.786506,70,70,,272,272
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.78765,26.4666,-81.787652,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46144_-81.78651,26.461443,-81.786506,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45707_-81.78324,26.457072,-81.783244,70,70,,272,272
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45415_-81.77836,26.454151,-81.77836,70,70,,272,272
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45312_-81.7726,26.453125,-81.7726,44,44,,93,93
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45415_-81.76684,26.454151,-81.76684,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.45707_-81.76196,26.457072,-81.761956,122,122,,693,693
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.46144_-81.75869,26.461443,-81.758694,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4666_-81.75253,26.4666,-81.75253,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47348_-81.75406,26.473475,-81.754058,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4793_-81.75841,26.479304,-81.758409,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4832_-81.76492,26.483199,-81.76492,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.48457_-81.7726,26.484566,-81.7726,84,84,,479,479
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4832_-81.78028,26.483199,-81.78028,70,70,,272,272
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.4793_-81.78679,26.479304,-81.786791,70,70,,272,272
2025-12-03T06:01:59.352639+00:00,fortmyers/2025-12-03T06-02-15Z.json,road_26.47348_-81.79114,26.473475,-81.791142,122,122,,385,385
